,player_id,player_name,current_mmr,current_lr,current_class,win_percentage,win10_percentage,average_score,average10_score,total_events,AP DS Delfino Square,AP DS Desert Hills,AP DS Peach Gardens,AP DS Yoshi Falls,AP GBA Bowser Castle 3,AP GBA Shy Guy Beach,AP GCN DK Mountain,AP GCN Mario Circuit,AP GCN Peach Beach,AP GCN Waluigi Stadium,AP N64 Bowser's Castle,AP N64 DK's Jungle Parkway,AP N64 Mario Raceway,AP N64 Sherbet Land,AP SNES Ghost Valley 2,AP SNES Mario Circuit 3,AP Wii Bowser's Castle,AP Wii Coconut Mall,AP Wii DK Summit,AP Wii Daisy Circuit,AP Wii Dry Dry Ruins,AP Wii Grumble Volcano,AP Wii Koopa Cape,AP Wii Luigi Circuit,AP Wii Maple Treeway,AP Wii Mario Circuit,AP Wii Moo Moo Meadows,AP Wii Moonview Highway,AP Wii Mushroom Gorge,AP Wii Rainbow Road,AP Wii Toad's Factory,AP Wii Wario's Gold Mine,AT DS Delfino Square,AT DS Desert Hills,AT DS Peach Gardens,AT DS Yoshi Falls,AT GBA Bowser Castle 3,AT GBA Shy Guy Beach,AT GCN DK Mountain,AT GCN Mario Circuit,AT GCN Peach Beach,AT GCN Waluigi Stadium,AT N64 Bowser's Castle,AT N64 DK's Jungle Parkway,AT N64 Mario Raceway,AT N64 Sherbet Land,AT SNES Ghost Valley 2,AT SNES Mario Circuit 3,AT Wii Bowser's Castle,AT Wii Coconut Mall,AT Wii DK Summit,AT Wii Daisy Circuit,AT Wii Dry Dry Ruins,AT Wii Grumble Volcano,AT Wii Koopa Cape,AT Wii Luigi Circuit,AT Wii Maple Treeway,AT Wii Mario Circuit,AT Wii Moo Moo Meadows,AT Wii Moonview Highway,AT Wii Mushroom Gorge,AT Wii Rainbow Road,AT Wii Toad's Factory,AT Wii Wario's Gold Mine,R DS Delfino Square,R DS Desert Hills,R DS Peach Gardens,R DS Yoshi Falls,R GBA Bowser Castle 3,R GBA Shy Guy Beach,R GCN DK Mountain,R GCN Mario Circuit,R GCN Peach Beach,R GCN Waluigi Stadium,R N64 Bowser's Castle,R N64 DK's Jungle Parkway,R N64 Mario Raceway,R N64 Sherbet Land,R SNES Ghost Valley 2,R SNES Mario Circuit 3,R Wii Bowser's Castle,R Wii Coconut Mall,R Wii DK Summit,R Wii Daisy Circuit,R Wii Dry Dry Ruins,R Wii Grumble Volcano,R Wii Koopa Cape,R Wii Luigi Circuit,R Wii Maple Treeway,R Wii Mario Circuit,R Wii Moo Moo Meadows,R Wii Moonview Highway,R Wii Mushroom Gorge,R Wii Rainbow Road,R Wii Toad's Factory,R Wii Wario's Gold Mine
0,260,Az,17187,15882,Class X,0.963636,1.0,99.1273,97.2,55,5,5,5,4,5,3,5,4,5,5,5,5,4,5,5,5,5,4,5,6,4,5,5,6,5,4,6,4,5,6,5,4,133.481,105.902,131.221,63.246,145.189,93.77,132.872,102.226,79.18,118.672,158.393,143.754,115.455,135.516,58.633,83.897,152.85,122.289,116.331,99.698,115.022,108.32,150.439,74.644,146.847,90.473,82.049,108.739,111.206,161.47,117.439,123.44,64,12,103,11,160,9,70,17,63,73,100,37,21,140,20,102,89,66,79,16,131,127,61,47,59,25,17,98,129,16,39,14
1,1614,Kasperinos,14846,15320,Class X,0.745283,0.7,90.4428,91.7143,107,5,5,5,5,5,5,5,7,5,5,5,6,6,5,6,6,5,5,5,6,4,5,6,5,5,6,7,5,6,5,6,5,132.106,108.9,128.916,66.584,136.865,91.191,135.762,103.703,80.014,124.199,163.926,150.366,113.406,133.204,56.545,86.445,150.012,126.237,115.622,98.21,115.788,116.409,150.841,75.898,147.739,87.886,85.922,112.808,112.269,162.437,119.197,120.802,39,8,106,18,153,14,60,17,43,84,88,23,11,95,21,94,79,54,118,28,127,141,76,58,46,27,20,105,109,8,37,22
2,1207,Kevin,14369,15256,Class X,0.76378,0.555556,89.1218,79.6071,128,6,5,5,5,5,5,5,6,6,6,5,7,6,6,6,6,6,5,5,7,5,6,5,6,5,6,5,5,6,5,5,6,132.225,110.061,126.45,64.302,141.715,94.037,137.698,102.602,79.775,120.408,160.35,145.359,114.956,136.655,56.57,84.136,153.276,124.515,118.641,97.699,117.934,114.832,149.095,74.814,147.186,86.023,84.617,109.643,110.518,162.068,115.472,120.522,142,19,213,18,324,19,150,37,106,179,227,71,31,238,44,228,216,102,169,46,259,279,161,146,121,61,24,217,304,36,79,54
3,2562,Iroha,14895,15115,Class X,0.651741,0.888889,85.4056,91.5,204,6,7,6,6,5,7,5,6,5,6,5,6,6,5,6,6,6,6,6,5,6,6,5,6,6,6,7,5,6,6,6,6,133.089,110.594,129.114,63.255,144.323,94.543,137.233,102.32,80.937,122.376,163.847,145.677,114.285,134.589,57.416,82.772,150.875,127.079,117.196,98.922,117.438,115.278,149.587,75.748,145.046,91.416,87.129,111.844,109.439,159.809,118.382,121.16,92,14,210,21,293,14,133,25,85,142,186,57,20,247,35,189,171,100,155,36,224,230,145,95,97,50,24,213,211,19,65,34
4,290,barney,14512,15074,Class X,0.759259,0.4,90.0946,79.4,109,6,5,6,4,5,8,6,5,6,5,5,6,7,6,5,6,5,5,5,5,5,5,6,6,5,6,5,5,5,5,6,6,132.356,104.499,130.113,64.986,139.842,93.084,130.93,99.292,80.48,121.292,162.697,146.287,111.19,138.301,56.713,83.939,153.018,122.47,115.93,96.523,118.919,116.579,148.879,74.29,146.415,88.206,86.192,109.794,112.535,159.344,120.64,119.247,58,13,104,11,169,7,103,22,53,87,116,38,19,112,16,117,93,62,155,20,125,134,100,64,72,22,21,93,126,20,45,38
5,1043,Fox,13876,14536,Class X,0.688172,0.3,92.2386,85.2,93,6,5,5,6,5,3,4,6,6,5,5,6,5,5,6,5,5,5,5,6,5,5,5,5,5,5,5,4,6,6,5,6,131.754,106.798,129.441,69.794,141.845,91.447,131.02,101.313,78.724,122.154,160.652,142.254,114.721,138.214,61.235,83.766,148.962,122.862,116.751,100.789,119.571,113.685,146.768,76.87,144.597,89.955,85.395,111.899,111.001,166.289,118.42,123.448,53,10,92,9,126,9,101,18,43,72,87,32,16,96,10,102,88,47,97,23,98,110,70,58,54,20,15,62,104,13,31,22
6,670,Dane,14111,14214,Class X,0.713178,0.7,80.6584,79.1,132,6,5,6,4,6,7,5,6,6,5,6,6,7,6,5,6,6,5,6,7,5,6,6,7,7,6,6,6,6,6,5,6,133.227,105.084,128.656,64.711,136.729,90.634,136.849,103.175,81.417,119.92,161.892,147.192,114.679,136.999,56.42,84.478,153.921,126.495,117.767,101.619,119.483,108.676,150.241,74.978,148.579,87.895,87.863,111.542,112.595,159.365,113.683,116.934,58,8,151,17,173,12,85,28,48,93,115,23,9,126,21,125,104,69,103,20,131,133,94,74,51,44,23,112,138,10,41,41
7,2432,ornan,13757,14182,Class X,0.655172,0.6,84.6706,81.5,116,6,7,6,6,5,5,6,6,5,6,6,6,6,6,5,5,6,5,5,5,5,5,6,6,6,7,5,5,6,7,5,6,135.953,104.927,131.953,63.258,133.935,92.845,133.257,100.826,79.243,121.545,163.341,148.009,115.719,134.79,57.095,84.224,152.943,126.065,117.372,98.432,116.43,114.051,148.045,75.336,150.575,88.221,84.375,111.7,110.323,165.107,120.489,123.958,63,26,127,18,197,15,70,23,74,96,104,47,16,151,29,127,115,95,115,28,154,186,115,75,62,38,19,134,158,17,44,34
8,2255,pachu,13609,14168,Class X,0.67382,0.5,84.1923,74.5862,235,6,8,5,6,6,5,5,6,5,5,5,6,7,6,7,6,6,5,5,6,6,6,6,5,6,6,5,6,6,5,5,6,132.503,115.113,129.589,64.224,139.245,93.104,136.983,105.055,78.291,119.842,163.459,144.678,116.033,134.813,62.438,84.355,152.863,122.802,116.615,99.184,120.535,115.023,150.695,77.401,149.689,88.325,81.948,109.475,110.78,162.937,118.599,125.302,37,2,100,11,140,10,80,12,33,89,95,18,12,107,7,100,85,63,72,24,115,116,74,54,44,21,11,84,107,11,28,28
9,2578,Quinn,13718,14045,Class X,0.8,0.666667,86.2518,92.0357,107,7,6,6,5,5,7,6,7,6,6,6,6,6,6,7,6,6,6,5,5,6,6,5,6,6,6,6,5,6,5,6,5,137.994,105.121,131.394,64.698,144.058,91.663,132.962,106.09,80.158,121.336,165.944,146.46,113.461,137.876,59.358,84.85,153.621,126.864,118.623,97.702,119.423,119.113,147.905,74.382,149.933,88.22,81.952,110.233,110.309,160.973,120.915,119.692,81,16,153,29,232,24,98,19,55,121,155,64,20,154,39,144,143,115,130,57,170,212,132,84,74,48,26,186,182,18,64,33
