player_id,player_name,current_mmr,current_lr,current_class,win_percentage,win10_percentage,average_score,average10_score,total_events,AP DS Delfino Square,AP DS Desert Hills,AP DS Peach Gardens,AP DS Yoshi Falls,AP GBA Bowser Castle 3,AP GBA Shy Guy Beach,AP GCN DK Mountain,AP GCN Mario Circuit,AP GCN Peach Beach,AP GCN Waluigi Stadium,AP N64 Bowser's Castle,AP N64 DK's Jungle Parkway,AP N64 Mario Raceway,AP N64 Sherbet Land,AP SNES Ghost Valley 2,AP SNES Mario Circuit 3,AP Wii Bowser's Castle,AP Wii Coconut Mall,AP Wii DK Summit,AP Wii Daisy Circuit,AP Wii Dry Dry Ruins,AP Wii Grumble Volcano,AP Wii Koopa Cape,AP Wii Luigi Circuit,AP Wii Maple Treeway,AP Wii Mario Circuit,AP Wii Moo Moo Meadows,AP Wii Moonview Highway,AP Wii Mushroom Gorge,AP Wii Rainbow Road,AP Wii Toad's Factory,AP Wii Wario's Gold Mine,AT DS Delfino Square,AT DS Desert Hills,AT DS Peach Gardens,AT DS Yoshi Falls,AT GBA Bowser Castle 3,AT GBA Shy Guy Beach,AT GCN DK Mountain,AT GCN Mario Circuit,AT GCN Peach Beach,AT GCN Waluigi Stadium,AT N64 Bowser's Castle,AT N64 DK's Jungle Parkway,AT N64 Mario Raceway,AT N64 Sherbet Land,AT SNES Ghost Valley 2,AT SNES Mario Circuit 3,AT Wii Bowser's Castle,AT Wii Coconut Mall,AT Wii DK Summit,AT Wii Daisy Circuit,AT Wii Dry Dry Ruins,AT Wii Grumble Volcano,AT Wii Koopa Cape,AT Wii Luigi Circuit,AT Wii Maple Treeway,AT Wii Mario Circuit,AT Wii Moo Moo Meadows,AT Wii Moonview Highway,AT Wii Mushroom Gorge,AT Wii Rainbow Road,AT Wii Toad's Factory,AT Wii Wario's Gold Mine,R DS Delfino Square,R DS Desert Hills,R DS Peach Gardens,R DS Yoshi Falls,R GBA Bowser Castle 3,R GBA Shy Guy Beach,R GCN DK Mountain,R GCN Mario Circuit,R GCN Peach Beach,R GCN Waluigi Stadium,R N64 Bowser's Castle,R N64 DK's Jungle Parkway,R N64 Mario Raceway,R N64 Sherbet Land,R SNES Ghost Valley 2,R SNES Mario Circuit 3,R Wii Bowser's Castle,R Wii Coconut Mall,R Wii DK Summit,R Wii Daisy Circuit,R Wii Dry Dry Ruins,R Wii Grumble Volcano,R Wii Koopa Cape,R Wii Luigi Circuit,R Wii Maple Treeway,R Wii Mario Circuit,R Wii Moo Moo Meadows,R Wii Moonview Highway,R Wii Mushroom Gorge,R Wii Rainbow Road,R Wii Toad's Factory,R Wii Wario's Gold Mine
260,Az,17155,15757,Class X,0.962963,1.0,99.037,96.1,54,5,5,5,4,5,3,5,4,5,5,5,5,4,5,5,5,5,4,5,6,4,5,5,6,5,4,6,4,5,6,5,4,144.794,114.844,141.235,68.384,157.651,97.237,145.79,108.72999999999999,86.884,130.601,174.132,154.757,120.114,146.15800000000002,63.985,93.232,161.305,134.042,128.976,106.219,128.198,128.456,158.415,82.428,156.34199999999998,95.73599999999999,90.51599999999999,120.531,120.526,169.49,127.548,128.72,64,12,102,11,159,9,69,17,63,73,100,37,21,139,20,101,88,66,79,16,130,126,61,46,59,24,17,97,128,16,39,14
1207,Kevin,14339,15268,Class X,0.769841,0.555556,89.2217,78.75,127,6,5,5,5,5,5,5,6,6,6,5,7,6,6,6,6,6,5,5,7,5,6,5,6,5,6,5,5,6,5,5,6,145.732,114.902,141.903,71.078,160.041,99.14500000000001,146.556,109.69800000000001,87.842,132.075,174.975,156.83100000000002,122.583,146.5,65.356,93.614,162.473,135.902,128.208,107.35499999999999,129.156,129.089,158.339,82.79599999999999,156.328,96.7,91.304,121.532,122.681,169.841,127.715,129.943,142,19,213,18,324,19,150,37,106,179,227,71,31,238,44,228,216,102,169,46,259,279,161,146,121,61,24,217,304,36,79,54
290,barney,14495,14979,Class X,0.784946,0.6,91.0257,90.7,94,6,5,6,4,5,9,5,5,6,5,5,6,7,6,5,6,5,4,5,5,5,5,5,6,5,6,5,5,5,5,6,6,145.805,113.22200000000001,142.061,69.753,158.56900000000002,104.12,146.372,108.881,87.212,131.51,175.53300000000002,155.261,122.694,147.318,63.082,93.229,162.18200000000002,134.363,127.831,105.601,128.596,129.04,158.123,82.356,155.753,96.624,90.928,120.784,121.742,169.275,128.197,130.109,56,13,97,11,160,5,95,22,50,78,107,38,19,106,16,110,88,57,145,17,118,128,94,61,67,22,21,87,122,18,42,34
1614,Kasperinos,13902,14817,Class X,0.758242,0.4,90.2771,76.9286,92,5,5,5,5,5,5,5,7,5,5,5,6,5,5,6,6,5,5,5,6,4,5,6,5,5,6,7,5,6,5,6,5,143.527,113.449,140.863,71.727,157.763,98.42699999999999,146.711,111.857,86.164,131.383,174.597,156.846,121.093,146.168,65.065,93.739,162.506,136.171,127.958,105.62,128.093,127.569,158.641,82.041,155.461,96.184,93.21600000000001,121.192,121.53,169.398,128.115,129.945,39,8,100,18,150,14,57,17,41,80,85,23,10,92,20,90,78,51,113,26,125,137,73,55,43,26,19,102,104,7,36,22
1043,Fox,13837,14535,Class X,0.684783,0.2,92.1954,83.9,92,6,5,5,6,5,3,4,6,6,5,5,6,5,5,6,5,5,5,5,6,5,5,5,5,5,5,5,4,6,6,5,6,145.269,112.50399999999999,141.477,72.148,158.263,96.564,144.499,109.047,86.90299999999999,131.836,175.34,156.32,120.86,146.285,65.754,93.02600000000001,162.047,134.224,128.641,106.325,128.345,128.341,157.586,82.344,156.573,96.559,90.386,120.631,122.451,172.58100000000002,128.458,130.3,53,10,92,9,126,9,101,18,43,72,87,32,16,96,10,102,88,47,97,23,98,110,70,58,54,20,15,62,104,13,31,22
2432,ornan,13928,14308,Class X,0.694737,0.6,85.4621,78.3333,95,6,7,6,5,5,5,6,6,5,5,6,6,6,6,5,5,6,5,5,5,5,5,6,6,6,6,6,5,6,7,5,7,145.744,114.997,141.887,71.132,159.058,100.009,147.551,110.211,87.231,131.558,176.262,155.591,120.865,146.925,64.313,93.531,163.459,136.022,128.814,104.87700000000001,128.613,128.106,159.387,82.393,158.061,97.132,91.596,121.454,122.727,172.483,128.221,131.567,61,26,123,16,192,15,67,23,71,89,100,47,15,145,27,121,110,93,110,23,148,182,111,69,62,36,18,128,152,16,43,29
2255,pachu,13536,14219,Class X,0.704301,0.5,84.6352,79.5,188,7,8,5,7,6,4,5,6,5,5,5,6,7,6,7,6,6,5,5,6,6,6,5,6,6,6,5,6,6,4,5,6,146.315,117.741,140.45,71.975,160.41899999999998,97.42699999999999,146.294,110.828,86.377,131.819,174.035,155.008,122.077,146.63,66.845,93.783,163.221,135.175,128.788,105.91,129.686,130.049,158.713,82.23400000000001,157.336,96.646,90.556,121.963,123.132,168.503,128.869,131.122,32,2,85,7,121,8,66,11,26,72,80,18,9,93,6,88,71,52,59,20,98,103,65,44,36,17,11,72,95,5,22,19
2578,Quinn,13718,14045,Class X,0.8,0.666667,86.2518,92.0357,107,7,6,6,5,5,7,6,7,6,6,6,6,6,6,7,6,6,6,5,5,6,6,5,6,6,6,6,5,6,5,6,5,146.69,114.509,141.868,71.305,159.195,100.836,146.464,111.18,87.619,132.172,175.772,156.572,122.544,147.262,65.684,94.249,163.278,135.613,128.698,105.424,129.317,128.963,158.538,82.839,157.064,96.819,91.848,121.725,122.353,169.587,128.524,129.187,81,16,153,29,232,24,98,19,55,121,155,64,20,154,39,144,143,115,130,57,170,212,132,84,74,48,26,186,182,18,64,33
2562,Iroha,13388,14004,Class X,0.633333,0.2,85.0611,82.3,182,6,7,6,6,6,6,6,6,5,6,6,6,6,5,6,6,6,6,6,5,6,6,5,6,6,6,7,5,6,6,6,6,145.913,116.294,141.726,71.068,160.773,99.381,147.239,110.09700000000001,87.40299999999999,132.549,175.583,155.118,121.632,145.993,64.497,93.38499999999999,162.539,136.59,129.88,105.402,129.655,128.934,158.244,82.78399999999999,157.338,97.118,92.813,121.631,122.443,171.751,128.539,130.572,91,14,208,19,289,13,130,24,84,140,185,56,20,246,34,186,169,98,152,36,221,227,145,95,97,49,23,210,207,19,64,34
1621,Lucid,13388,13479,Class X,0.690909,0.5,80.0575,77.7931,112,6,6,6,5,6,4,6,7,6,6,6,6,6,6,6,6,6,6,6,5,5,6,6,6,6,6,5,6,6,6,6,4,146.035,114.511,142.138,71.67,161.023,98.219,147.683,112.081,87.566,132.483,177.115,155.909,120.796,147.349,64.962,94.227,163.324,137.35,129.247,105.096,129.001,129.816,159.139,82.964,157.248,96.84,91.394,121.687,122.379,170.344,128.791,128.678,64,11,127,13,200,7,78,20,66,108,142,41,11,134,28,137,125,71,120,30,162,176,87,116,77,33,17,137,193,21,46,27
1637,tayston,13140,13296,Class X,0.698925,0.7,85.2118,79.7,94,5,8,6,6,6,6,5,7,7,6,6,6,6,5,6,6,5,5,5,6,5,6,5,7,4,5,5,5,6,6,6,5,145.004,116.07,142.011,71.949,159.918,100.994,146.282,111.00999999999999,88.167,132.279,175.309,155.179,121.959,146.22899999999998,64.245,94.05799999999999,162.746,134.519,128.954,106.032,128.37,129.034,158.81,83.6,155.38,95.751,90.812,120.725,122.466,171.334,127.587,128.338,34,10,90,2,112,14,46,11,32,48,61,30,9,75,13,72,63,54,41,15,83,98,73,47,43,14,11,69,88,3,32,23
670,Dane,13289,13103,Class X,0.730769,0.8,80.4361,95.2,106,7,5,6,5,6,6,5,6,6,6,6,6,7,6,5,6,6,6,6,7,5,6,6,7,7,6,6,6,6,6,5,6,146.394,112.763,142.062,69.279,160.363,100.549,146.263,109.447,87.60900000000001,131.953,176.038,154.07,122.939,147.489,64.051,94.321,163.417,136.04,129.753,107.544,129.736,129.202,158.381,82.953,157.902,97.837,94.262,121.88,123.204,169.99,127.555,130.346,53,8,142,14,159,9,76,27,41,80,103,21,8,113,20,115,94,60,95,18,121,124,89,64,48,38,23,100,130,7,38,37
3578,yukino,12953,13004,Class X,0.632911,0.6,77.1419,81.2069,158,6,7,6,7,6,6,6,6,6,6,6,7,6,6,7,7,6,6,6,6,6,6,6,7,7,6,7,6,6,7,7,6,146.091,115.45,142.53,72.715,161.567,100.416,147.86,111.36699999999999,87.902,132.489,176.77,156.506,122.462,147.71,66.525,94.756,162.964,136.336,130.189,106.162,129.296,130.099,159.625,83.468,158.426,96.37100000000001,92.416,122.587,122.655,175.426,129.126,130.847,105,21,211,17,297,19,148,39,71,168,195,68,29,217,41,209,182,121,190,42,247,235,126,103,117,38,37,162,235,23,78,43
18,Fred,12535,12724,Class X,0.687861,0.6,78.1886,79.8214,173,7,5,6,7,7,7,6,7,7,6,6,7,5,6,7,6,6,6,6,6,6,6,6,7,6,7,6,6,6,7,6,7,147.292,114.24799999999999,142.209,72.128,164.03,101.30799999999999,148.194,111.95400000000001,89.21000000000001,132.375,177.329,156.339,121.507,148.056,66.702,94.245,164.011,136.723,130.24,107.89500000000001,129.693,130.432,160.119,83.636,157.963,97.227,91.249,123.218,122.697,182.864,129.8,132.065,74,16,147,16,231,18,103,27,58,150,156,49,23,169,26,172,204,80,124,30,179,201,102,102,94,33,26,125,177,17,70,31
525,chi,12247,12506,Class X,0.616858,0.6,82.4253,78.8,263,6,6,6,5,6,6,5,6,6,6,6,5,6,6,6,6,5,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,145.782,114.8,142.312,71.53,161.374,99.695,146.284,110.337,87.961,133.004,176.855,154.436,122.267,147.207,65.428,93.725,161.895,136.125,129.76,106.673,129.526,129.951,159.551,83.19800000000001,157.631,97.28399999999999,92.051,122.711,122.93,172.18099999999998,128.773,130.934,146,25,288,25,439,26,232,46,104,227,286,78,46,357,57,340,327,138,236,56,325,349,185,169,192,63,44,248,342,44,104,57
2867,Sgt,12125,12371,Class X,0.72549,0.4,77.2745,72.6,102,7,7,7,6,7,6,7,6,6,6,6,6,5,7,8,6,6,5,7,6,5,6,6,7,6,7,6,6,6,7,6,6,147.85399999999998,117.97800000000001,143.776,72.78999999999999,161.596,99.51599999999999,148.853,110.18299999999999,87.84100000000001,133.778,177.484,155.679,119.482,148.843,66.457,94.02600000000001,163.64600000000002,135.455,131.406,107.185,130.09,130.807,159.301,83.508,157.446,97.372,91.518,122.22,122.138,176.094,129.685,132.244,35,10,72,9,122,10,55,11,54,61,72,44,9,76,16,77,67,68,71,21,80,104,62,53,37,19,12,74,96,11,39,44
556,cl,12178,12307,Class X,0.650888,0.7,77.7059,80.2,171,6,5,6,5,6,6,6,6,7,6,7,6,5,6,7,7,6,6,6,6,6,6,6,6,6,7,6,6,6,6,5,6,146.07,114.238,142.138,70.474,160.101,100.35300000000001,148.131,110.656,88.423,132.461,177.047,155.811,122.604,147.971,66.443,94.562,163.251,136.275,129.835,107.804,130.289,129.401,159.469,82.923,157.417,97.26599999999999,92.693,122.758,122.674,170.862,128.22899999999998,130.337,101,21,177,18,321,17,133,43,66,165,174,62,25,220,42,199,197,127,211,35,217,262,128,128,92,50,34,179,243,27,75,56
